Transaction_ID,Date,Time,Site_Location,Fuel_Volume_Liters,Fuel_Spend,In_Store_Spend
TXN1001,2026-07-20,08:15,Sydney_CBD,45.5,85.50,12.50
TXN1002,2026-07-20,08:30,Parramatta,0.0,0.00,8.99
TXN1003,2026-07-20,09:05,Newcastle,60.2,110.00,0.00
TXN1004,2026-07-21,17:45,Sydney_CBD,30.0,55.20,25.00
TXN1005,2026-07-21,18:10,Wollongong,55.0,105.00,5.50
TXN1006,2026-07-22,07:30,Parramatta,25.4,48.00,15.20
TXN1007,2026-07-22,12:15,Newcastle,0.0,0.00,18.50
TXN1008,2026-07-22,13:00,Sydney_CBD,40.0,76.50,0.00
TXN1009,2026-07-23,08:00,Wollongong,35.0,66.50,10.00
TXN1010,2026-07-23,17:30,Parramatta,50.0,95.00,22.40
